City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,kartuzy,54.3342,18.1974,12.6,95,45,1.03,PL,1694743480
150,tsiombe,-25.3,45.4833,17.92,91,0,3.03,MG,1694743481
151,cruzeiro do sul,-29.5128,-51.9853,10.29,90,13,1.71,BR,1694743344
152,galle,6.0367,80.217,26.46,82,55,1.4,LK,1694743481
153,kirishi,59.4471,32.0205,10.38,90,100,2.92,RU,1694743481
154,kiama,-34.6833,150.8667,28.58,47,92,3.13,AU,1694743476
155,hualien city,23.9769,121.6044,32.41,58,10,2.54,TW,1694743211
156,saint-philippe,-21.3585,55.7679,19.77,79,37,4.43,RE,1694743482
157,kununurra,-15.7667,128.7333,32.99,24,29,5.14,AU,1694743483
158,longyearbyen,78.2186,15.6401,1.91,87,75,9.26,SJ,1694743483
159,flying fish cove,-10.4217,105.6791,25.82,73,40,7.72,CX,1694743483
160,mirnyy,62.5353,113.9611,9.1,83,100,5.19,RU,1694743483
161,cannonvale,-20.2833,148.7,20.66,53,0,8.98,AU,1694743484
162,queenstown,-31.8976,26.8753,13.17,16,82,4.29,ZA,1694743484
163,remire-montjoly,4.9167,-52.2667,28.02,83,0,1.54,GF,1694743484
164,tulun,54.5611,100.5792,13.94,52,10,1.49,RU,1694743484
165,thompson,55.7435,-97.8558,12.09,100,100,3.6,CA,1694743485
166,okhotsk,59.3833,143.3,11.47,54,38,3.6,RU,1694743485
167,bandarbeyla,9.4942,50.8122,25.85,76,90,8.65,SO,1694743485
168,ta`u,-14.2336,-169.5144,26.65,78,92,8.05,AS,1694743486
169,junagarh,19.8667,82.9333,24.07,92,100,2.96,IN,1694743486
170,sandnessjoen,66.0217,12.6316,2.29,62,100,7.51,NO,1694743486
171,calvinia,-31.4707,19.776,5.72,83,66,2.83,ZA,1694743486
172,haiku-pauwela,20.9219,-156.3051,27.32,73,75,8.75,US,1694743486
173,jamestown,42.097,-79.2353,11.8,84,0,2.06,US,1694743319
174,margate,51.3813,1.3862,17.61,78,7,1.79,GB,1694743211
175,axim,4.8699,-2.2405,23.99,94,98,3.07,GH,1694743487
176,xiaoweizhai,26.1903,107.5125,23.05,72,18,2.37,CN,1694743488
177,mount gambier,-37.8333,140.7667,17.48,53,5,5.76,AU,1694743488
178,fortuna,40.5982,-124.1573,16.63,91,0,4.12,US,1694743488
179,targu secuiesc,46.0,26.1333,16.01,85,100,1.16,RO,1694743488
180,manta,-0.95,-80.7333,24.88,78,75,5.66,EC,1694743489
181,kroya,-7.6331,109.2461,26.96,65,17,5.12,ID,1694743489
182,cuenca,-2.8833,-78.9833,16.07,63,75,3.6,EC,1694743489
183,hovd,48.0056,91.6419,11.59,36,1,1.34,MN,1694743490
184,itaituba,-4.2761,-55.9836,25.35,33,0,0.84,BR,1694743490
185,kodiak,57.79,-152.4072,10.73,66,75,0.0,US,1694743490
186,chul'man,56.8479,124.9104,3.53,90,98,5.08,RU,1694743490
187,port macquarie,-31.4333,152.9167,24.94,42,100,4.82,AU,1694743271
188,nema,57.5067,50.5011,11.48,75,79,1.79,RU,1694743491
189,kayangel,8.0823,134.7173,27.61,78,86,0.95,PW,1694743491
190,zaozersk,69.4005,32.4476,2.82,86,47,1.48,RU,1694743491
191,alice springs,-23.7,133.8833,28.75,10,0,2.06,AU,1694743492
192,dois corregos,-22.3661,-48.3803,14.04,92,96,0.76,BR,1694743492
